                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.74042,                0.79963,                  1.132,                0.68911,                0.74584,                0.76641,                0.59751,                0.80521,                 0.8367,                 1.2337,             0.00065091,             0.00065091,             0.00065091
                     57,                0.73118,                0.78122,                 1.1301,                0.69191,                0.73586,                0.75772,                 0.5909,                0.80606,                0.84353,                 1.2437,             0.00063676,             0.00063676,             0.00063676
                     58,                0.72992,                 0.7899,                 1.1326,                0.66299,                0.76466,                0.76412,                0.59898,                0.79726,                0.84012,                 1.2326,             0.00062262,             0.00062262,             0.00062262
                     59,                0.73198,                 0.7667,                 1.1274,                 0.7024,                0.72898,                0.76619,                0.59864,                0.79635,                 0.8308,                 1.2362,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.7234,                0.76109,                 1.1181,                0.69641,                0.73662,                0.76433,                0.59415,                0.80159,                0.85015,                 1.2351,             0.00059432,             0.00059432,             0.00059432
                     61,                0.71231,                   0.75,                  1.106,                0.73853,                 0.7039,                0.76983,                0.59801,                0.81023,                0.84399,                 1.2515,             0.00058017,             0.00058017,             0.00058017
                     62,                0.71784,                 0.7546,                 1.1139,                0.67032,                0.74811,                0.75848,                0.59417,                0.79671,                0.84069,                 1.2333,             0.00056603,             0.00056603,             0.00056603
                     63,                 0.7111,                0.72634,                 1.1023,                0.69935,                0.73697,                0.76769,                0.60041,                0.80622,                0.83133,                  1.247,             0.00055188,             0.00055188,             0.00055188
                     64,                0.70582,                 0.7394,                 1.1011,                0.70439,                0.70448,                0.76244,                0.59418,                 0.8034,                0.84831,                 1.2314,             0.00053773,             0.00053773,             0.00053773
                     65,                0.70169,                0.71579,                 1.0997,                0.69979,                0.72551,                0.76393,                0.59747,                0.80013,                0.84343,                 1.2401,             0.00052359,             0.00052359,             0.00052359
                     66,                  0.697,                0.71066,                 1.0986,                0.68253,                0.74694,                0.76221,                0.60096,                0.79577,                0.84013,                 1.2339,             0.00050944,             0.00050944,             0.00050944
                     67,                0.68524,                0.69831,                 1.0936,                0.70317,                 0.7336,                0.77136,                0.60732,                0.79152,                0.83577,                 1.2312,             0.00049529,             0.00049529,             0.00049529
                     68,                0.68366,                 0.6901,                 1.0861,                0.69839,                0.73058,                0.76692,                 0.6058,                0.79228,                0.84996,                 1.2377,             0.00048114,             0.00048114,             0.00048114
                     69,                0.67772,                0.67905,                 1.0876,                0.71035,                0.72951,                0.77081,                0.60643,                0.80208,                0.84031,                 1.2514,               0.000467,               0.000467,               0.000467
                     70,                0.67948,                0.67043,                 1.0858,                0.72469,                0.71997,                0.76762,                0.60294,                0.79895,                0.83493,                 1.2491,             0.00045285,             0.00045285,             0.00045285
                     71,                0.67342,                0.68301,                 1.0885,                0.70056,                0.73188,                  0.765,                 0.6027,                0.78678,                0.84196,                 1.2327,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67184,                0.67188,                 1.0808,                0.70996,                0.70883,                0.76273,                0.60282,                0.79224,                0.85622,                  1.239,             0.00042456,             0.00042456,             0.00042456
                     73,                0.66062,                0.65282,                 1.0795,                0.70686,                0.73837,                0.77039,                  0.607,                0.79299,                0.84079,                 1.2415,             0.00041041,             0.00041041,             0.00041041
                     74,                0.66116,                0.65448,                  1.076,                0.71716,                0.72407,                  0.773,                0.61016,                0.78436,                0.84042,                 1.2306,             0.00039626,             0.00039626,             0.00039626
                     75,                0.65315,                0.63715,                 1.0669,                0.70069,                0.74407,                 0.7722,                0.60758,                0.79598,                0.83319,                 1.2442,             0.00038211,             0.00038211,             0.00038211
                     76,                0.64929,                0.63064,                 1.0672,                0.72102,                0.72919,                0.77057,                 0.6102,                0.79293,                0.83501,                 1.2447,             0.00036797,             0.00036797,             0.00036797
