                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.59372,                0.54278,                 1.0191,                0.73646,                0.70076,                0.75829,                0.59638,                 0.8135,                0.90634,                 1.2347,             0.00041041,             0.00041041,             0.00041041
                     74,                0.58975,                0.52849,                 1.0179,                0.71643,                0.73509,                0.76731,                0.60584,                0.81571,                0.90405,                  1.243,             0.00039626,             0.00039626,             0.00039626
                     75,                0.58073,                0.51644,                 1.0119,                0.72163,                0.72001,                0.76038,                0.60031,                0.81811,                0.91959,                 1.2462,             0.00038211,             0.00038211,             0.00038211
                     76,                0.58006,                0.52666,                 1.0136,                 0.7176,                0.71293,                0.75673,                0.59788,                0.81432,                0.92343,                 1.2387,             0.00036797,             0.00036797,             0.00036797
                     77,                0.58132,                0.50307,                 1.0051,                0.71585,                0.72992,                0.75426,                 0.5981,                0.81604,                0.92252,                 1.2436,             0.00035382,             0.00035382,             0.00035382
                     78,                0.57633,                0.51436,                 1.0078,                0.72881,                0.71479,                0.75703,                0.59734,                 0.8049,                 0.9197,                 1.2317,             0.00033967,             0.00033967,             0.00033967
                     79,                0.56965,                0.50153,                 1.0048,                0.73474,                0.71648,                0.76213,                0.60452,                0.80323,                0.92363,                 1.2353,             0.00032553,             0.00032553,             0.00032553
                     80,                0.57061,                0.49736,                 1.0034,                0.72212,                0.71587,                0.75963,                 0.6023,                0.81283,                0.93103,                 1.2387,             0.00031138,             0.00031138,             0.00031138
                     81,                0.55814,                0.49341,                0.99736,                0.72158,                0.72405,                0.75901,                0.60381,                0.80859,                0.92311,                 1.2423,             0.00029723,             0.00029723,             0.00029723
                     82,                0.55261,                0.47969,                0.99109,                0.74018,                0.70556,                0.76222,                0.60619,                0.81198,                0.91801,                 1.2414,             0.00028308,             0.00028308,             0.00028308
                     83,                0.55561,                0.47942,                0.99672,                0.73938,                0.71479,                0.75944,                0.60525,                0.80916,                0.93243,                 1.2429,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.5539,                0.47606,                 0.9976,                0.75374,                0.70003,                0.76319,                0.60604,                 0.8113,                0.93627,                 1.2503,             0.00025479,             0.00025479,             0.00025479
                     85,                0.55145,                0.46945,                0.99216,                 0.7461,                 0.7019,                0.75492,                0.59819,                0.81493,                0.94807,                   1.25,             0.00024064,             0.00024064,             0.00024064
                     86,                0.54709,                0.46344,                0.99245,                0.72168,                0.72536,                0.75758,                0.60366,                0.80549,                0.92951,                 1.2447,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.5344,                0.45331,                0.98303,                0.72594,                0.72163,                0.75381,                0.60064,                0.80966,                0.95087,                 1.2536,             0.00021235,             0.00021235,             0.00021235
