                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80869,                 0.8964,                 1.1579,                0.88826,                0.98199,                 1.1887,                0.68582,                0.68169,                0.72925,                0.55061,                0.85205,                0.93942,                 1.2355,                0.89716,                0.96814,                 1.2561,             0.00097629,             0.00097629,             0.00097629
                     35,                0.78842,                0.88078,                 1.1458,                0.86167,                0.96261,                 1.1757,                0.67911,                0.71235,                0.74592,                0.56656,                0.84741,                0.90382,                 1.2268,                 0.8931,                0.94172,                 1.2506,             0.00096215,             0.00096215,             0.00096215
                     36,                0.78777,                0.87357,                 1.1491,                0.86028,                0.95835,                 1.1809,                0.70651,                0.69159,                 0.7448,                0.55858,                0.86694,                0.90237,                 1.2373,                0.90772,                0.93369,                 1.2634,               0.000948,               0.000948,               0.000948
                     37,                0.77892,                0.86246,                 1.1331,                0.85227,                0.94795,                 1.1635,                0.69758,                 0.7044,                0.74556,                0.56678,                0.84715,                0.90327,                 1.2312,                0.89081,                0.93378,                   1.25,             0.00093385,             0.00093385,             0.00093385
                     38,                0.77405,                0.84718,                 1.1436,                0.84872,                0.92991,                 1.1772,                0.71067,                 0.7064,                0.75462,                 0.5771,                0.82924,                0.87177,                 1.2207,                0.86812,                0.91312,                 1.2392,              0.0009197,              0.0009197,              0.0009197
                     39,                0.76832,                0.83938,                 1.1323,                  0.845,                0.91449,                 1.1649,                0.70923,                 0.6878,                0.74468,                0.56414,                0.83718,                 0.8996,                 1.2245,                0.88179,                0.93952,                 1.2436,             0.00090556,             0.00090556,             0.00090556
                     40,                0.75423,                0.81894,                 1.1238,                0.82559,                0.90108,                 1.1538,                0.67916,                 0.7131,                0.74975,                 0.5718,                0.83062,                0.90463,                 1.2192,                0.87187,                0.93733,                 1.2367,             0.00089141,             0.00089141,             0.00089141
                     41,                0.75095,                0.81596,                 1.1194,                0.82378,                0.89202,                 1.1513,                0.70035,                0.71089,                0.75123,                0.57481,                0.82377,                0.88464,                  1.216,                0.86832,                0.93476,                  1.234,             0.00087726,             0.00087726,             0.00087726
                     42,                0.74741,                0.79261,                 1.1159,                0.82783,                 0.8723,                 1.1503,                0.70897,                 0.7036,                0.75502,                0.57339,                0.84032,                0.89163,                 1.2322,                0.88341,                0.94404,                 1.2531,             0.00086312,             0.00086312,             0.00086312
                     43,                0.74094,                0.79225,                 1.1163,                0.81246,                0.87229,                 1.1498,                 0.7199,                0.70801,                 0.7611,                0.58354,                0.83351,                 0.8588,                 1.2292,                0.87746,                0.89207,                 1.2513,             0.00084897,             0.00084897,             0.00084897
                     44,                0.73362,                0.79292,                 1.1123,                0.80388,                0.86686,                 1.1427,                0.68251,                0.73169,                0.76093,                0.58224,                0.82587,                0.87284,                 1.2261,                0.86845,                0.90606,                 1.2459,             0.00083482,             0.00083482,             0.00083482
                     45,                0.72379,                0.77112,                 1.0993,                0.79955,                0.84827,                 1.1312,                0.71407,                0.71516,                0.76708,                0.58614,                0.82965,                0.86873,                 1.2257,                0.87277,                 0.9145,                 1.2448,             0.00082067,             0.00082067,             0.00082067
                     46,                0.72175,                0.75168,                 1.0956,                0.79552,                0.82755,                 1.1265,                0.69905,                0.71522,                0.76346,                0.58686,                0.82257,                0.85504,                 1.2079,                0.86015,                0.89756,                 1.2239,             0.00080653,             0.00080653,             0.00080653
                     47,                0.71384,                0.75116,                 1.0891,                0.78803,                0.82792,                 1.1222,                0.70841,                0.71847,                0.76722,                0.58991,                0.82401,                0.86602,                 1.2124,                0.86284,                0.90053,                 1.2265,             0.00079238,             0.00079238,             0.00079238
                     48,                0.70848,                0.73316,                 1.0917,                0.78006,                 0.8086,                  1.123,                0.70052,                0.71303,                0.75774,                0.58181,                0.82477,                0.88232,                 1.2176,                 0.8658,                0.93157,                 1.2399,             0.00077823,             0.00077823,             0.00077823
                     49,                0.70553,                0.71213,                 1.0856,                 0.7774,                0.78135,                 1.1154,                0.69953,                 0.7224,                0.76521,                0.59209,                0.81449,                0.86437,                  1.208,                0.86018,                0.91015,                 1.2308,             0.00076409,             0.00076409,             0.00076409
                     50,                 0.7048,                0.72068,                 1.0879,                0.77798,                0.78927,                 1.1189,                0.70145,                0.73136,                0.76222,                0.58746,                0.82184,                0.87083,                 1.2199,                0.86698,                0.93653,                 1.2417,             0.00074994,             0.00074994,             0.00074994
                     51,                0.69414,                0.71455,                 1.0815,                0.76865,                0.78601,                 1.1125,                0.69791,                0.71685,                0.75925,                0.58677,                0.81478,                0.87881,                 1.2144,                 0.8558,                0.92976,                 1.2323,             0.00073579,             0.00073579,             0.00073579
                     52,                0.68795,                0.69228,                 1.0723,                0.76225,                0.75973,                 1.1038,                0.70345,                0.72186,                 0.7625,                 0.5885,                0.83064,                0.88096,                 1.2275,                0.86794,                0.94529,                 1.2434,             0.00072164,             0.00072164,             0.00072164
                     53,                0.69145,                0.69567,                 1.0733,                0.76038,                0.76742,                 1.1036,                0.71369,                0.72043,                0.76153,                0.59152,                0.81091,                0.86273,                 1.2078,                0.84866,                0.91976,                 1.2303,              0.0007075,              0.0007075,              0.0007075
                     54,                0.68653,                0.68792,                 1.0715,                0.75525,                0.75647,                 1.1014,                 0.7355,                0.70395,                0.77127,                0.59548,                0.81148,                0.85492,                 1.2142,                0.85251,                0.89448,                 1.2367,             0.00069335,             0.00069335,             0.00069335
                     55,                0.68185,                0.67429,                  1.067,                0.74902,                0.74086,                 1.0974,                0.71915,                0.71852,                0.76783,                0.59285,                0.81977,                 0.8662,                  1.217,                0.86175,                0.92686,                  1.243,              0.0006792,              0.0006792,              0.0006792
                     56,                 0.6701,                0.66091,                  1.056,                0.73804,                0.72365,                 1.0849,                0.72454,                0.69858,                0.75404,                 0.5794,                0.80916,                0.88539,                 1.2106,                0.84645,                0.95339,                 1.2274,             0.00066506,             0.00066506,             0.00066506
                     57,                0.66005,                0.65388,                 1.0539,                0.72781,                  0.718,                 1.0826,                0.72138,                0.72581,                0.76013,                0.58752,                0.81231,                0.87595,                 1.2167,                0.84584,                0.93964,                  1.231,             0.00065091,             0.00065091,             0.00065091
                     58,                0.66474,                 0.6563,                 1.0564,                0.73433,                0.72185,                  1.087,                 0.7288,                0.71168,                0.76548,                0.58888,                0.82237,                0.89344,                 1.2285,                0.86842,                0.94934,                 1.2534,             0.00063676,             0.00063676,             0.00063676
                     59,                0.65728,                 0.6355,                 1.0521,                0.72488,                0.69288,                 1.0834,                0.74962,                0.69115,                0.76359,                0.59227,                0.81644,                0.87816,                 1.2253,                0.86084,                0.93773,                 1.2457,             0.00062262,             0.00062262,             0.00062262
                     60,                 0.6587,                 0.6357,                 1.0552,                0.72584,                0.69415,                  1.086,                0.70831,                0.73419,                0.76357,                0.59165,                0.81636,                0.87249,                 1.2252,                0.85052,                0.92269,                 1.2373,             0.00060847,             0.00060847,             0.00060847
                     61,                0.64006,                0.62752,                 1.0417,                0.70673,                0.68661,                 1.0698,                0.72093,                0.71263,                0.76345,                0.59161,                0.80561,                 0.8708,                 1.2237,                 0.8488,                0.94036,                 1.2427,             0.00059432,             0.00059432,             0.00059432
