                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.65517,                0.64844,                 1.0579,                0.70567,                0.73094,                0.76556,                0.59038,                0.83099,                0.86429,                 1.2586,             0.00060847,             0.00060847,             0.00060847
                     60,                0.65099,                0.63353,                 1.0554,                0.70352,                0.73769,                0.76008,                0.58503,                0.82544,                0.88281,                 1.2526,             0.00059432,             0.00059432,             0.00059432
                     61,                 0.6473,                0.61495,                 1.0509,                0.68786,                0.74251,                0.76246,                0.58875,                0.82416,                0.87571,                 1.2622,             0.00058017,             0.00058017,             0.00058017
                     62,                0.63625,                0.61339,                 1.0485,                0.71953,                0.71484,                0.76162,                0.58836,                0.82569,                0.89617,                 1.2681,             0.00056603,             0.00056603,             0.00056603
                     63,                0.63581,                0.60472,                 1.0459,                0.71924,                0.73299,                0.76455,                0.59574,                0.81862,                0.88856,                 1.2527,             0.00055188,             0.00055188,             0.00055188
                     64,                 0.6307,                0.60405,                 1.0436,                0.71638,                0.73561,                0.76144,                0.58812,                0.82754,                0.90328,                 1.2629,             0.00053773,             0.00053773,             0.00053773
                     65,                0.62649,                0.59161,                 1.0382,                0.73301,                0.71997,                0.76146,                0.58978,                0.82842,                0.89636,                  1.275,             0.00052359,             0.00052359,             0.00052359
                     66,                0.63266,                0.59373,                 1.0415,                0.72426,                0.72169,                 0.7591,                0.58929,                0.81744,                0.88725,                 1.2502,             0.00050944,             0.00050944,             0.00050944
                     67,                0.61813,                0.57555,                 1.0318,                0.73513,                0.71628,                 0.7652,                 0.5933,                 0.8285,                 0.8771,                 1.2656,             0.00049529,             0.00049529,             0.00049529
                     68,                0.62252,                0.58077,                 1.0323,                0.71091,                0.73993,                0.76502,                0.59396,                0.81814,                0.87821,                 1.2566,             0.00048114,             0.00048114,             0.00048114
                     69,                0.60249,                0.55101,                 1.0246,                0.73998,                0.71383,                0.76069,                0.58995,                 0.8238,                0.91002,                 1.2637,               0.000467,               0.000467,               0.000467
                     70,                0.60957,                0.55611,                 1.0265,                0.70631,                0.74314,                0.76507,                0.59638,                0.82149,                0.88704,                 1.2663,             0.00045285,             0.00045285,             0.00045285
                     71,                0.60164,                0.54497,                 1.0222,                 0.7315,                0.72669,                0.75265,                0.58463,                0.81574,                0.90109,                  1.256,              0.0004387,              0.0004387,              0.0004387
                     72,                 0.5989,                0.53868,                 1.0204,                 0.7415,                0.71951,                0.75844,                0.59361,                0.81126,                 0.9005,                 1.2574,             0.00042456,             0.00042456,             0.00042456
                     73,                0.59386,                0.53784,                 1.0162,                0.72008,                0.73511,                0.76087,                0.59514,                0.81933,                0.90036,                 1.2615,             0.00041041,             0.00041041,             0.00041041
                     74,                0.59151,                0.53007,                 1.0131,                0.75434,                0.72063,                0.76315,                0.59486,                0.82082,                0.87606,                 1.2608,             0.00039626,             0.00039626,             0.00039626
                     75,                0.57816,                0.51717,                 1.0082,                0.73718,                0.72161,                0.75754,                0.59489,                0.81874,                 0.9062,                 1.2661,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.5825,                0.52023,                 1.0143,                0.74269,                 0.7204,                0.75167,                0.58967,                0.82611,                0.90971,                 1.2677,             0.00036797,             0.00036797,             0.00036797
                     77,                0.57596,                0.50474,                 1.0104,                0.75032,                0.71311,                0.75691,                0.59371,                0.82136,                0.89895,                 1.2679,             0.00035382,             0.00035382,             0.00035382
