                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.62729,                0.58585,                 1.0499,                0.73118,                0.72742,                0.76399,                0.59816,                0.80268,                0.85899,                 1.2661,             0.00031138,             0.00031138,             0.00031138
                     81,                0.62237,                0.57795,                 1.0479,                0.72333,                 0.7426,                0.76855,                0.60215,                0.80281,                0.86061,                  1.274,             0.00029723,             0.00029723,             0.00029723
                     82,                0.62195,                 0.5712,                 1.0478,                0.72697,                0.73277,                0.76858,                0.60355,                0.79639,                0.85756,                 1.2622,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.6139,                0.57088,                 1.0401,                0.71885,                0.74621,                0.76213,                0.59815,                0.80565,                0.86898,                 1.2725,             0.00026894,             0.00026894,             0.00026894
                     84,                0.61435,                0.56605,                 1.0414,                0.76066,                0.70268,                0.76343,                0.59945,                0.80078,                0.86555,                 1.2653,             0.00025479,             0.00025479,             0.00025479
                     85,                0.60935,                0.55217,                 1.0333,                 0.7261,                0.74259,                0.76756,                0.60383,                0.79725,                0.84842,                 1.2553,             0.00024064,             0.00024064,             0.00024064
                     86,                0.60862,                0.55505,                 1.0298,                0.72411,                0.74576,                 0.7648,                0.60122,                0.79191,                0.85874,                 1.2516,              0.0002265,              0.0002265,              0.0002265
                     87,                0.60339,                0.54726,                 1.0327,                0.74304,                 0.7208,                0.76452,                0.60107,                0.79356,                0.86895,                 1.2631,             0.00021235,             0.00021235,             0.00021235
                     88,                0.60105,                0.54625,                 1.0319,                0.74034,                0.71689,                0.76203,                0.60006,                0.79398,                0.86368,                 1.2568,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59514,                0.53084,                 1.0299,                0.71933,                0.72674,                0.75491,                0.59275,                 0.7997,                0.88695,                 1.2606,             0.00018406,             0.00018406,             0.00018406
                     90,                0.59006,                0.52657,                 1.0256,                0.72096,                0.73884,                0.75823,                0.59774,                0.79911,                0.87657,                  1.267,             0.00016991,             0.00016991,             0.00016991
                     91,                0.53667,                0.40875,                0.98841,                0.73537,                0.71405,                0.75324,                0.59417,                0.80846,                0.88869,                 1.2778,             0.00015576,             0.00015576,             0.00015576
                     92,                 0.5236,                0.39597,                0.98994,                0.73455,                0.72294,                0.75837,                0.59753,                0.79909,                0.88897,                 1.2721,             0.00014161,             0.00014161,             0.00014161
                     93,                0.51542,                 0.3811,                0.97694,                0.73589,                0.72406,                0.75972,                0.59932,                0.80038,                0.89376,                 1.2772,             0.00012747,             0.00012747,             0.00012747
                     94,                0.51307,                0.38039,                0.97621,                0.72776,                0.72383,                0.75736,                0.59866,                0.79946,                0.90041,                  1.277,             0.00011332,             0.00011332,             0.00011332
                     95,                0.50851,                0.37436,                0.97237,                0.72917,                0.72572,                0.75934,                0.60305,                0.79945,                0.89737,                 1.2784,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.51022,                0.36984,                 0.9727,                0.76244,                0.69378,                0.75802,                0.60086,                0.80172,                0.90083,                  1.284,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.50269,                0.36139,                0.96598,                0.74616,                0.71591,                0.75749,                0.59959,                0.80149,                0.90542,                 1.2831,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.49732,                0.35813,                  0.968,                0.75655,                0.69993,                0.75625,                0.59846,                0.80078,                0.91164,                 1.2804,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.49436,                0.35393,                0.96336,                0.71509,                0.73979,                 0.7569,                0.60123,                0.79913,                0.91117,                 1.2764,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49268,                0.34812,                0.95834,                 0.7306,                0.72852,                0.75813,                0.60098,                0.79886,                0.90807,                 1.2765,             2.8437e-05,             2.8437e-05,             2.8437e-05
